Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis_link,8.1282E-05,-4.9991E-05,-0.10945,0,0,0,2.7807,0.0062726,-3.0602E-07,-1.7253E-06,0.0062958,4.3744E-06,0.0037723,0,0,0,0,0,0,package://x200-11-03/meshes/pelvis_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x200-11-03/meshes/pelvis_link.STL,,PELVIS_LINK-1,torso_sys,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,-0.016949,0.07623,0.00040721,0,0,0,1.4583,0.0029564,-1.9846E-05,-9.2983E-06,0.0017674,2.4485E-05,0.0020892,0,0,0,0,0,0,package://x200-11-03/meshes/left_hip_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x200-11-03/meshes/left_hip_pitch_link.STL,,LEFT_HIP_PITCH_LINK-1,left_hip_pitch_sys,left_hip_pitch_l,left_hip_pitch_joint,revolute,0,0.0535,-0.1245,0,0,0,pelvis_link,0,1,0,90,1,-2.5,2.5,,,,,,,,
left_hip_roll_link,0.0035885,0.00042463,-0.082507,0,0,0,1.9043,0.0050651,-2.6779E-06,-9.9685E-05,0.0052788,1.863E-05,0.0048908,0,0,0,0,0,0,package://x200-11-03/meshes/left_hip_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x200-11-03/meshes/left_hip_roll_link.STL,,LEFT_HIP_ROLL_LINK-1,left_hip_roll_sys,left_hip_roll_l,left_hip_roll_joint,revolute,0,0.086,0,0,0,0,left_hip_pitch_link,1,0,0,90,1,-0.4,1.45,,,,,,,,
left_hip_yaw_link,0.0037074,-0.0062686,-0.15994,0,0,0,2.6495,0.0067303,-2.959E-05,0.00019268,0.0095452,0.00044058,0.0044684,0,0,0,0,0,0,package://x200-11-03/meshes/left_hip_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x200-11-03/meshes/left_hip_yaw_link.STL,,LEFT_HIP_YAW_LINK-1,left_hip_yaw_sys,left_hip_yaw_l,left_hip_yaw_joint,revolute,0,0,-0.1355,0,0,0,left_hip_roll_link,0,0,1,90,1,-2.5,2.5,,,,,,,,
left_knee_link,0.0070649,-0.0013484,-0.13665,0,0,0,2.8183,0.016697,2.668E-05,0.00038824,0.015554,-0.0002089,0.0034354,0,0,0,0,0,0,package://x200-11-03/meshes/left_knee_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x200-11-03/meshes/left_knee_link.STL,,LEFT_KNEE_LINK-1,left_knee_sys,left_knee_l,left_knee_joint,revolute,0,0,-0.19,0,0,0,left_hip_yaw_link,0,1,0,150,1,-0.02,2,,,,,,,,
left_ankle_pitch_link,-0.00031412,1.918E-07,-0.003667,0,0,0,0.0722,1.0544E-05,-2.2759E-12,-4.3816E-07,1.238E-05,1.3059E-18,6.3025E-06,0,0,0,0,0,0,package://x200-11-03/meshes/left_ankle_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x200-11-03/meshes/left_ankle_pitch_link.STL,,LEFT_ANKLE_PITCH_LINK-1,left_ankle_pitch_sys,left_ankle_pitch_l,left_ankle_pitch_joint,revolute,0,0,-0.33,0,0,0,left_knee_link,0,1,0,36,0.08,-0.4,0.6,,,,,,,,
left_ankle_roll_link,0.046085,8.3095E-06,-0.015984,0,0,0,0.6654,0.00035049,1.0669E-07,1.6968E-05,0.0017849,1.8506E-07,0.0020908,0,0,0,0,0,0,package://x200-11-03/meshes/left_ankle_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x200-11-03/meshes/left_ankle_roll_link.STL,,LEFT_ANKLE_ROLL_LINK-1,left_ankle_roll_sys,left_ankle_roll_l,left_ankle_roll_joint,revolute,0,0,-0.012,0,0,0,left_ankle_pitch_link,1,0,0,36,0.08,-0.43,0.43,,,,,,,,
right_hip_pitch_link,-0.016949,-0.076226,0.00041407,0,0,0,1.4583,0.0029564,1.9852E-05,-9.2934E-06,0.0017675,-2.4495E-05,0.0020891,0,0,0,0,0,0,package://x200-11-03/meshes/right_hip_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x200-11-03/meshes/right_hip_pitch_link.STL,,RIGHT_HIP_PITCH_LINK-2,right_hip_pitch_sys,right_hip_pitch_l,right_hip_pitch_joint,revolute,0,-0.0535,-0.1245,0,0,0,pelvis_link,0,1,0,90,1,-2.5,2.5,,,,,,,,
right_hip_roll_link,0.0035942,-0.00037394,-0.082486,0,0,0,1.9043,0.0050646,2.661E-06,-9.9396E-05,0.0052775,-1.8864E-05,0.0048904,0,0,0,0,0,0,package://x200-11-03/meshes/right_hip_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x200-11-03/meshes/right_hip_roll_link.STL,,RIGHT_HIP_ROLL_LINK-1,right_hip_roll_sys,right_hip_roll_l,right_hip_roll_joint,revolute,0,-0.086,0,0,0,0,right_hip_pitch_link,1,0,0,90,1,-1.45,0.4,,,,,,,,
right_hip_yaw_link,0.0037014,0.0062693,-0.15994,0,0,0,2.6495,0.0067296,3.1569E-05,0.00019332,0.0095437,-0.00044057,0.0044678,0,0,0,0,0,0,package://x200-11-03/meshes/right_hip_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x200-11-03/meshes/right_hip_yaw_link.STL,,RIGHT_HIP_YAW_LINK-1,right_hip_yaw_sys,right_hip_yaw_l,right_hip_yaw_joint,revolute,0,0,-0.1355,0,0,0,right_hip_roll_link,0,0,1,90,1,-2.5,2.5,,,,,,,,
right_knee_link,0.0070641,0.0014446,-0.13675,0,0,0,2.8183,0.016695,-2.6547E-05,0.00038813,0.015552,0.00020916,0.0034353,0,0,0,0,0,0,package://x200-11-03/meshes/right_knee_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x200-11-03/meshes/right_knee_link.STL,,RIGHT_KNEE_LINK-1,right_knee_sys,right_knee_l,right_knee_joint,revolute,0,0,-0.19,0,0,0,right_hip_yaw_link,0,1,0,150,1,-0.02,2,,,,,,,,
right_ankle_pitch_link,-0.00032568,5.799E-09,-0.0036651,0,0,0,0.0722,1.0544E-05,-2.1968E-10,-4.3815E-07,1.238E-05,1.0414E-10,6.3025E-06,0,0,0,0,0,0,package://x200-11-03/meshes/right_ankle_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x200-11-03/meshes/right_ankle_pitch_link.STL,,RIGHT_ANKLE_PITCH_LINK-1,right_ankle_pitch_sys,right_ankle_pitch_l,right_ankle_pitch_joint,revolute,0,0,-0.33,0,0,0,right_knee_link,0,1,0,36,0.08,-0.4,0.6,,,,,,,,
right_ankle_roll_link,0.046084,-6.2872E-05,-0.015969,0,0,0,0.6654,0.0003505,-1.8613E-06,1.6896E-05,0.001785,-2.0899E-07,0.0020909,0,0,0,0,0,0,package://x200-11-03/meshes/right_ankle_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://x200-11-03/meshes/right_ankle_roll_link.STL,,RIGHT_ANKLE_ROLL_LINK-1,right_ankle_roll_sys,right_ankle_roll_l,right_ankle_roll_joint,revolute,0,0,-0.011998,0,0,0,right_ankle_pitch_link,1,0,0,36,0.08,-0.43,0.43,,,,,,,,
torso_link,0.0012343716878745,0.000371429896273605,0.227654072484662,0,0,0,9.23222404839966,0.0534044121661209,-3.47134212365044E-05,-0.000187457543130805,0.0440234160973352,0.000639323006480399,0.020784425156714,0,0,0,0,0,0,package://x200-11-03/meshes/torso_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://x200-11-03/meshes/torso_link.STL,,TORSO_LINK-1,torso_sys,torso_l,torso_joint,revolute,0,0,0,0,0,0,pelvis_link,0,0,1,90,0.9,-2.55,2.55,,,,,,,,
